Date,SPX,USO,SLV,EUR/USD,GLD
2011-05-31,103.65,324.0,37.6,1.4322,149.64
2011-06-01,101.32,316.16,35.75,1.4428,149.91
2011-06-02,101.21,317.44,35.29,1.4345,149.5
2011-06-03,100.2,317.28,35.34,1.4486,150.22
2011-06-06,99.14,312.0,35.71,1.4655,150.48
2011-06-07,99.08,312.4,36.12,1.4583,150.42
2011-06-08,98.67,318.8,36.03,1.4686,149.81
2011-06-09,99.42,321.12,36.67,1.4602,150.56
2011-06-10,98.04,312.56,35.25,1.4516,149.24
2011-06-13,98.11,306.08,33.87,1.4333,147.77
2011-06-14,99.36,312.8,34.67,1.4417,148.67
2011-06-15,97.59,300.64,34.88,1.445,149.12
2011-06-16,97.81,299.36,34.65,1.4182,148.97
2011-06-17,98.1,293.04,34.95,1.4199,149.94
2011-06-20,98.6,293.76,35.09,1.4285,150.03
2011-06-21,99.95,294.32,35.51,1.4325,150.76
2011-06-22,99.35,296.8,35.5,1.4382,150.99
2011-06-23,99.06,288.08,34.37,1.4314,148.34
2011-06-24,97.91,286.48,33.36,1.427,146.26
2011-06-27,98.79,285.12,32.63,1.4171,145.73
2011-06-28,100.08,291.36,33.0,1.4317,146.24
2011-06-29,100.93,297.84,34.01,1.4358,147.18
2011-06-30,101.9,297.92,33.84,1.4479,146.0
2011-07-01,103.4,297.2,33.0,1.4497,144.93
2011-07-05,103.32,303.68,34.63,1.4553,147.63
2011-07-06,103.44,303.12,35.1,1.4428,148.91
2011-07-07,104.52,308.88,35.5,1.4332,149.15
2011-07-08,103.77,302.4,35.75,1.4365,150.25
2011-07-11,101.9,298.32,34.9,1.4202,151.59
2011-07-12,101.46,303.44,35.2,1.4041,152.77
2011-07-13,101.8,306.8,37.23,1.3969,154.14
2011-07-14,101.09,300.4,37.41,1.4234,154.54
2011-07-15,101.68,305.04,38.24,1.4157,155.2
2011-07-18,100.85,300.72,39.47,1.4123,156.57
2011-07-19,102.48,306.0,38.01,1.4112,154.66
2011-07-20,102.42,307.2,39.12,1.4173,156.02
2011-07-21,103.84,309.76,38.31,1.427,154.83
2011-07-22,103.91,311.44,39.07,1.442,156.12
2011-07-25,103.33,309.44,39.31,1.4388,157.34
2011-07-26,102.95,310.48,39.89,1.4372,157.77
2011-07-27,100.84,303.76,39.17,1.4508,157.19
2011-07-28,100.55,303.28,38.76,1.4373,157.32
2011-07-29,99.86,299.36,38.85,1.4332,158.29
2011-08-01,99.43,297.6,38.29,1.4364,157.72
2011-08-02,96.89,291.2,39.82,1.4262,161.52
2011-08-03,97.42,286.88,40.55,1.4173,161.49
2011-08-04,92.86,269.84,37.61,1.4353,160.64
2011-08-05,92.72,271.6,37.32,1.4067,161.75
2011-08-08,86.68,252.08,37.97,1.4294,167.12
2011-08-09,90.71,252.96,36.32,1.4171,168.61
2011-08-10,86.7,254.24,38.44,1.4383,174.58
2011-08-11,90.59,266.4,37.8,1.4125,170.75
2011-08-12,91.2,265.84,38.12,1.4226,169.97
2011-08-15,93.13,273.76,38.67,1.4274,171.8
2011-08-16,92.34,270.64,39.03,1.4438,173.92
2011-08-17,92.4,272.08,39.33,1.4398,174.42
2011-08-18,88.42,253.76,39.66,1.4429,177.72
2011-08-19,86.97,256.96,41.68,1.4324,179.95
2011-08-22,87.04,261.76,42.63,1.4369,184.59
2011-08-23,89.91,267.36,40.63,1.4361,177.67
2011-08-24,91.17,264.64,38.83,1.4437,171.65
2011-08-25,89.78,263.76,40.0,1.4412,172.36
2011-08-26,91.09,265.2,40.41,1.4373,177.47
2011-08-29,93.71,271.68,39.72,1.4495,173.89
2011-08-30,93.95,275.52,40.4,1.4524,179.1
2011-08-31,94.37,276.08,40.45,1.4433,177.72
2011-09-01,93.38,275.76,40.52,1.4375,177.87
2011-09-02,91.0,269.12,42.18,1.4262,183.24
2011-09-06,90.33,268.72,41.05,1.4063,182.9
2011-09-07,92.88,277.52,40.53,1.4003,177.08
2011-09-08,91.91,275.68,41.22,1.4086,181.81
2011-09-09,89.51,270.8,40.52,1.3904,180.7
2011-09-12,90.08,275.36,39.14,1.3601,176.67
2011-09-13,90.91,278.8,39.87,1.366,178.54
2011-09-14,92.17,274.72,39.6,1.3686,177.21
2011-09-15,93.76,276.8,38.79,1.3746,174.4
2011-09-16,94.31,273.12,39.39,1.3869,176.03
2011-09-19,93.38,266.32,38.65,1.3701,173.31
2011-09-20,93.27,267.44,38.83,1.3606,175.78
2011-09-21,90.52,263.36,38.56,1.3694,173.59
2011-09-22,87.59,249.04,34.92,1.3586,169.05
2011-09-23,88.12,248.72,29.98,1.3481,159.8
2011-09-26,90.22,251.76,29.77,1.3547,157.58
2011-09-27,91.23,258.96,31.17,1.3518,160.63
2011-09-28,89.36,250.0,28.87,1.3582,156.22
